Country;Landmass;Zone;Area;Population;Language;Religion;Bars;Stripes;Colors
Afghanistan;Asia;NE;648;16;Other;Muslim;0;3;5
Albania;Europe;NE;29;3;Other Indo-European;Marxist;0;0;3
Algeria;Africa;NE;2388;20;Arabic;Muslim;2;0;3
Angola;Africa;SE;1247;7;Other;Ethnic;0;2;3
Argentina;South America;SW;2777;28;Spanish;Catholic;0;3;2
Australia;Oceania;SE;7690;15;English;Other Christian;0;0;3
Austria;Europe;NE;84;8;German;Catholic;0;3;2
Bangladesh;Asia;NE;143;90;Other;Muslim;0;0;2
Belgium;Europe;NE;31;10;Other Indo-European;Catholic;3;0;3
Benin;Africa;NE;113;3;French;Ethnic;0;0;2
Bhutan;Asia;NE;47;1;Other;Buddhist;0;0;4
Bolivia;South America;SW;1099;6;Spanish;Catholic;0;3;3
Botswana;Africa;SE;600;1;Other;Ethnic;0;5;3
Brazil;South America;SW;8512;119;Other;Catholic;0;0;4
Bulgaria;Europe;NE;111;9;Slavic;Marxist;0;3;5
Burkina;Africa;NW;274;7;French;Ethnic;0;2;3
Burma;Asia;NE;678;35;Other;Buddhist;0;0;3
Burundi;Africa;SE;28;4;Other;Ethnic;0;0;3
Cameroon;Africa;NE;474;8;French;Other Christian;3;0;3
Canada;North America;NW;9976;24;English;Other Christian;2;0;2
Central-African-Republic;Africa;NE;623;2;Other;Ethnic;1;0;5
Chad;Africa;NE;1284;4;French;Ethnic;3;0;3
Chile;South America;SW;757;11;Spanish;Catholic;0;2;3
China;Asia;NE;9561;1008;Chinese;Marxist;0;0;2
Colombia;South America;NW;1139;28;Spanish;Catholic;0;3;3
Congo;Africa;SE;342;2;Other;Ethnic;0;0;3
Costa-Rica;North America;NW;51;2;Spanish;Catholic;0;5;3
Cuba;North America;NW;115;10;Spanish;Marxist;0;5;3
Cyprus;Europe;NE;9;1;Other Indo-European;Other Christian;0;0;3
Czechoslovakia;Europe;NE;128;15;Slavic;Marxist;0;0;3
Denmark;Europe;NE;43;5;Other Indo-European;Other Christian;0;0;2
Dominican-Republic;North America;NW;49;6;Spanish;Catholic;0;0;3
Ecuador;South America;SW;284;8;Spanish;Catholic;0;3;3
Egypt;Africa;NE;1001;47;Arabic;Muslim;0;3;4
El-Salvador;North America;NW;21;5;Spanish;Catholic;0;3;2
Ethiopia;Africa;NE;1222;31;Other;Other Christian;0;3;3
Fiji;Oceania;SE;18;1;English;Other Christian;0;0;7
Finland;Europe;NE;337;5;Other;Other Christian;0;0;2
France;Europe;NE;547;54;French;Catholic;3;0;3
Gabon;Africa;SE;268;1;Other;Ethnic;0;3;3
Gambia;Africa;NW;10;1;English;Ethnic;0;5;4
Germany;Europe;NE;249;61;German;Other Christian;0;3;3
Ghana;Africa;NW;239;14;English;Ethnic;0;3;4
Greece;Europe;NE;132;10;Other Indo-European;Other Christian;0;9;2
Guatemala;North America;NW;109;8;Spanish;Catholic;3;0;2
Guinea;Africa;NW;246;6;French;Muslim;3;0;3
Guinea-Bissau;Africa;NW;36;1;Other;Ethnic;1;2;4
Guyana;South America;NW;215;1;English;Hindu;0;0;5
Haiti;North America;NW;28;6;French;Catholic;2;0;2
Honduras;North America;NW;112;4;Spanish;Catholic;0;3;2
Hong-Kong;Asia;NE;1;5;Chinese;Buddhist;0;0;6
Hungary;Europe;NE;93;11;Other;Marxist;0;3;3
India;Asia;NE;3268;684;Other;Hindu;0;3;4
Indonesia;Oceania;SE;1904;157;Other;Muslim;0;2;2
Iran;Asia;NE;1648;39;Arabic;Muslim;0;3;3
Iraq;Asia;NE;435;14;Arabic;Muslim;0;3;4
Ireland;Europe;NW;70;3;English;Catholic;3;0;3
Israel;Asia;NE;21;4;Other;Other;0;2;2
Italy;Europe;NE;301;57;Other Indo-European;Catholic;3;0;3
Ivory-Coast;Africa;NW;323;7;French;Ethnic;3;0;3
Jamaica;North America;NW;11;2;English;Other Christian;0;0;3
Japan;Asia;NE;372;118;Other;Other;0;0;2
Jordan;Asia;NE;98;2;Arabic;Muslim;0;3;4
Kampuchea;Asia;NE;181;6;Other;Buddhist;0;0;2
Kenya;Africa;NE;583;17;Other;Ethnic;0;5;4
Kuwait;Asia;NE;18;2;Arabic;Muslim;0;3;4
Laos;Asia;NE;236;3;Other;Marxist;0;3;3
Lebanon;Asia;NE;10;3;Arabic;Muslim;0;2;4
Lesotho;Africa;SE;30;1;Other;Ethnic;2;0;4
Liberia;Africa;NW;111;1;Other;Ethnic;0;11;3
Libya;Africa;NE;1760;3;Arabic;Muslim;0;0;1
Malagasy;Africa;SE;587;9;Other;Other Christian;1;2;3
Malawi;Africa;SE;118;6;Other;Ethnic;0;3;3
Malaysia;Asia;NE;333;13;Other;Muslim;0;14;4
Mali;Africa;NW;1240;7;French;Muslim;3;0;3
Mauritania;Africa;NW;1031;2;Arabic;Muslim;0;0;2
Mauritius;Africa;SE;2;1;English;Hindu;0;4;4
Mexico;North America;NW;1973;77;Spanish;Catholic;3;0;4
Mongolia;Asia;NE;1566;2;Other;Marxist;3;0;3
Morocco;Africa;NW;447;20;Arabic;Muslim;0;0;2
Mozambique;Africa;SE;783;12;Other;Ethnic;0;5;5
Nepal;Asia;NE;140;16;Other;Hindu;0;0;3
Netherlands;Europe;NE;41;14;Other Indo-European;Other Christian;0;3;3
New-Zealand;Oceania;SE;268;2;English;Other Christian;0;0;3
Nicaragua;North America;NW;128;3;Spanish;Catholic;0;3;2
Niger;Africa;NE;1267;5;French;Muslim;0;3;3
Nigeria;Africa;NE;925;56;Other;Muslim;3;0;2
North-Korea;Asia;NE;121;18;Other;Marxist;0;5;3
North-Yemen;Asia;NE;195;9;Arabic;Muslim;0;3;4
Norway;Europe;NE;324;4;Other Indo-European;Other Christian;0;0;3
Oman;Asia;NE;212;1;Arabic;Muslim;0;2;3
Pakistan;Asia;NE;804;84;Arabic;Muslim;1;0;2
Panama;South America;NW;76;2;Spanish;Catholic;0;0;3
Papua-New-Guinea;Oceania;SE;463;3;English;Ethnic;0;0;4
Parguay;South America;SW;407;3;Spanish;Catholic;0;3;6
Peru;South America;SW;1285;14;Spanish;Catholic;3;0;2
Philippines;Oceania;NE;300;48;Other;Catholic;0;0;4
Poland;Europe;NE;313;36;Slavic;Marxist;0;2;2
Portugal;Europe;NW;92;10;Other Indo-European;Catholic;0;0;5
Puerto-Rico;North America;NW;9;3;Spanish;Catholic;0;5;3
Romania;Europe;NE;237;22;Other Indo-European;Marxist;3;0;7
Rwanda;Africa;SE;26;5;Other;Ethnic;3;0;4
Saudi-Arabia;Asia;NE;2150;9;Arabic;Muslim;0;0;2
Senegal;Africa;NW;196;6;French;Muslim;3;0;3
Sierra-Leone;Africa;NW;72;3;English;Ethnic;0;3;3
Singapore;Asia;NE;1;3;Chinese;Buddhist;0;2;2
Somalia;Africa;NE;637;5;Other;Muslim;0;0;2
South-Africa;Africa;SE;1221;29;Arabic;Other Christian;0;3;5
South-Korea;Asia;NE;99;39;Other;Other;0;0;4
South-Yemen;Asia;NE;288;2;Arabic;Muslim;0;3;4
Spain;Europe;NW;505;38;Spanish;Catholic;0;3;2
Sri-Lanka;Asia;NE;66;15;Other;Buddhist;2;0;4
Sudan;Africa;NE;2506;20;Arabic;Muslim;0;3;4
Swaziland;Africa;SE;17;1;Other;Other Christian;0;5;7
Sweden;Europe;NE;450;8;Other Indo-European;Other Christian;0;0;2
Switzerland;Europe;NE;41;6;German;Other Christian;0;0;2
Syria;Asia;NE;185;10;Arabic;Muslim;0;3;4
Taiwan;Asia;NE;36;18;Chinese;Buddhist;0;0;3
Tanzania;Africa;SE;945;18;Other;Ethnic;0;0;4
Thailand;Asia;NE;514;49;Other;Buddhist;0;5;3
Togo;Africa;NE;57;2;French;Other;0;5;4
Trinidad-Tobago;South America;NW;5;1;English;Other Christian;0;0;3
Tunisia;Africa;NE;164;7;Arabic;Muslim;0;0;2
Turkey;Asia;NE;781;45;Other;Muslim;0;0;2
UAE;Asia;NE;84;1;Arabic;Muslim;1;3;4
Uganda;Africa;NE;236;13;Other;Ethnic;0;6;5
UK;Europe;NW;245;56;English;Other Christian;0;0;3
Uruguay;South America;SW;178;3;Spanish;Catholic;0;9;3
USA;North America;NW;9363;231;English;Other Christian;0;13;3
USSR;Asia;NE;22402;274;Slavic;Marxist;0;0;2
Venezuela;South America;NW;912;15;Spanish;Catholic;0;3;7
Vietnam;Asia;NE;333;60;Other;Marxist;0;0;2
Zaire;Africa;SE;905;28;Other;Ethnic;0;0;4
Zambia;Africa;SE;753;6;Other;Ethnic;3;0;4
Zimbabwe;Africa;SE;391;8;Other;Ethnic;0;7;5
